ext_gene	ensembl_gene_id	exon_start	exon_end	distance	strand	chromosome_name
ACTN2	ENSG00000077522	236614141	236814631	200490	1	1
ADM	ENSG00000148926	10255073	10357397	102324	1	11
AHCY	ENSG00000101444	34230268	34361802	131534	-1	20
AKAP7	ENSG00000118507	131085467	131333535	248068	1	6
AKAP8L	ENSG00000011243	15330050	15469141	139091	-1	19
APEX1	ENSG00000100823	20405191	20507772	102581	1	14
ARHGAP29	ENSG00000137962	94098988	94325068	226080	-1	1
ATAD2	ENSG00000156802	123269850	123466350	196500	-1	8
AURKA	ENSG00000087586	56319389	56442337	122948	-1	20
BMP7	ENSG00000101144	57118753	57316641	197888	-1	20
CACNB2	ENSG00000165995	18090677	18593557	502880	1	10
CAD	ENSG00000084774	27167369	27293943	126574	1	2
CBX5	ENSG00000094916	54180942	54330133	149191	-1	12
CCL2	ENSG00000108691	34205218	34307203	101985	1	17
CCNB2	ENSG00000157456	59055126	59175045	119919	1	15
CDC20	ENSG00000117399	43308981	43413203	104222	1	1
CDC7	ENSG00000097046	91450851	91575764	124913	1	1
CDH11	ENSG00000140937	64893753	65176112	282359	-1	16
CDKN3	ENSG00000100526	54346849	54470218	123369	1	14
CEBPD	ENSG00000221869	47686909	47789086	102177	-1	8
CELSR2	ENSG00000143126	109199539	109325751	126212	1	1
CENPA	ENSG00000115163	26714289	26851067	136778	1	2
COL5A2	ENSG00000204262	188981898	189275312	293414	-1	2
COL6A1	ENSG00000142156	45931737	46055050	123313	1	21
CREB3L2	ENSG00000182158	137824979	138052086	227107	-1	7
CSPG5	ENSG00000114646	47512238	47630792	118554	-1	3
CSRP2	ENSG00000175183	76808709	76929023	120314	-1	12
DAPK1	ENSG00000196730	87447228	87758634	311406	1	9
DCLRE1A	ENSG00000198924	113784725	113904383	119658	-1	10
DKK1	ENSG00000107984	52264281	52368042	103761	1	10
DLGAP5	ENSG00000126787	55098112	55241608	143496	-1	14
DNAAF5	ENSG00000164818	676699	836475	159776	1	7
DNAJC12	ENSG00000108176	67746669	67888188	141519	-1	10
ECT2	ENSG00000114346	172700682	172871474	170792	1	3
EFNB1	ENSG00000090776	68779021	68892160	113139	1	X
EZH2	ENSG00000106462	148757383	148934321	176938	-1	7
FAM3C	ENSG00000196937	121298878	121446364	147486	-1	7
FAM49A	ENSG00000197872	16499459	16716331	216872	-1	2
FBN1	ENSG00000166147	48358306	48695849	337543	-1	15
FCGRT	ENSG00000104870	49456816	49576333	119517	1	19
FLI1	ENSG00000151702	128636535	128863267	226732	1	11
FLRT2	ENSG00000185070	85480144	85704428	224284	1	14
FNBP1	ENSG00000187239	129837187	130093194	256007	-1	9
FOSL2	ENSG00000075426	28342448	28467317	124869	1	2
FOXM1	ENSG00000111206	2807681	2927155	119474	-1	12
GALNT1	ENSG00000141429	35531117	35761834	230717	1	18
GAS1	ENSG00000180447	86894362	86997506	103144	-1	9
GLCE	ENSG00000138604	69110584	69322217	211633	1	15
GLG1	ENSG00000090863	74397427	74657144	259717	-1	16
GNPAT	ENSG00000116906	231191207	231327973	136766	1	1
GOLT1B	ENSG00000111711	21451781	21568408	116627	1	12
GRK5	ENSG00000198873	119157589	119509742	352153	1	10
GTSE1	ENSG00000075218	46246870	46380810	133940	1	22
GYG2	ENSG00000056998	2778822	2932820	153998	1	X
H2AFY2	ENSG00000099284	70002846	70162282	159436	1	10
HEG1	ENSG00000173706	124915710	125105997	190287	-1	3
HELLS	ENSG00000119969	94451434	94663905	212471	1	10
HIPK1	ENSG00000163349	113879324	114027869	148545	1	1
HOOK1	ENSG00000134709	59764786	59926370	161584	1	1
ID2	ENSG00000115738	8628845	8734461	105616	1	2
IGFBP3	ENSG00000146674	45862245	45971874	109629	-1	7
IL1RAP	ENSG00000196083	190464051	190709750	245699	1	3
IL6ST	ENSG00000134352	55885095	56045022	159927	-1	5
ITGB3BP	ENSG00000142856	63390770	63643721	252951	-1	1
IVNS1ABP	ENSG00000116679	185246388	185367273	120885	-1	1
JAK1	ENSG00000162434	64783229	65016549	233320	-1	1
KIF14	ENSG00000118193	200501497	200670751	169254	-1	1
KIF15	ENSG00000163808	44711721	44923376	211655	1	3
KMO	ENSG00000117009	241482134	241645642	163508	1	1
LAMB3	ENSG00000196878	209564870	209702425	137555	-1	1
LDB2	ENSG00000169744	16451541	16948678	497137	-1	4
LMNB1	ENSG00000113368	126726623	126887020	160397	1	5
LSM4	ENSG00000130520	18256230	18373274	117044	-1	19
MANBA	ENSG00000109323	102580770	102810994	230224	-1	4
MAPT	ENSG00000186868	45844382	46078334	233952	1	17
MDFI	ENSG00000112559	41586882	41704246	117364	1	6
MEIS1	ENSG00000143995	66383452	66623869	240417	1	2
MKKS	ENSG00000125863	10351009	10484222	133213	-1	20
MRPL35	ENSG00000132313	86149355	86263790	114435	1	2
MRPS31	ENSG00000102738	40679135	40821173	142038	-1	13
MSH6	ENSG00000116062	47645530	47860101	214571	1	2
MTHFD1	ENSG00000100714	64338031	64513457	175426	1	14
MYC	ENSG00000136997	127685434	127792950	107516	1	8
MYOM2	ENSG00000036448	1995046	2215552	220506	1	8
NDUFS2	ENSG00000158864	161147104	161264395	117291	1	1
NFIL3	ENSG00000165030	91359045	91473832	114787	-1	9
NKX2-2	ENSG00000125820	21461010	21564026	103016	-1	20
NPY1R	ENSG00000164128	163273962	163394832	120870	-1	4
NR0B1	ENSG00000169297	30254206	30359598	105392	-1	X
NUDT1	ENSG00000106268	2192222	2301146	108924	1	7
NUDT11	ENSG00000196368	51440011	51546592	106581	-1	X
NUP205	ENSG00000155561	135507917	135698757	190840	1	7
NUP37	ENSG00000075188	102023103	102170120	147017	-1	12
NUP85	ENSG00000125450	75155659	75285758	130099	1	17
OLFM1	ENSG00000130558	135025422	135171179	145757	1	9
PA2G4	ENSG00000170515	56054537	56163910	109373	1	12
PADI2	ENSG00000117115	17016761	17169451	152690	-1	1
PAICS	ENSG00000128050	56385741	56514579	128838	1	4
PALLD	ENSG00000129116	168447052	168978457	531405	1	4
PCDH17	ENSG00000118946	57581744	57779311	197567	1	13
PDSS1	ENSG00000148459	26647701	26796798	149097	1	10
